hau_000000|Taswirar mutum ne yana buga kwallo.
hau_000001|Rabi sau dari= shi ne hamsin.
hau_000003|Wannan saniya ce mai launin fari da baki.
hau_000083|keke mai launin bak'i
hau_000084|Kare mai launin bak'i na wasa da kwallo.
hau_000085|Dogon kogi.
hau_000086|Hudu sau biyar zai bada ashirin.
hau_000087|Tsutsa ta ratsa tumaturi mai launin ja.
hau_000088|Sha biyu sau hudu ya zama arba'in da takwas.
hau_000089|Dabbobi masu sauri.
hau_000090|Tuffa guda biyu mai launin kore an raba guda a ciki
hau_000091|Dogon dutse.
hau_000092|Yarinya mai shekara shida ta samu nasarar karatu a matakin karatu na shida.
hau_000093|Watannin shekara.
hau_000094|An zura kwallaye da dama a gasar kwallo.
hau_000095|Sha daya a hada uku ya zama sha hudu.
hau_000096|Takwas sau tara ya zama saba'in da biyu..
hau_000097|Duniya a cikin tsarin hasken rana.
hau_000098|Batun iyali
hau_000099|Alamar tsuntsaye guda uku da furanni uku masu launukan ja da kore.
hau_000100|Sittin a raba gida uku ya zama ashirin.
hau_000101|Goma sau goma ya zama dari.
hau_000102|Shida a hada da bakwai ya zama sha uku.
hau_000103|Miliyan daya sau daya a cikin biyar ya zama dubu dari biyu.
hau_000104|Daya a hada da biyu ya zama uku.
hau_000105|Kare mai shekara hudu na iya gano gidan mai gidansa a rukunin gidaje na hudu.
hau_000106|Uku a cikin hudu sau dari da ashirin ya zama casa’in.
hau_000107|Yanayi wayewar gari na iya zama da zafi idan ka samu ma'aunin selshiyos ya kai daga 40C zuwa sama..
hau_000108|Bakwai sau takwas ya zama hamsin shida.
hau_000109|Adama tana da ƙoƙarin karatu a Jami’ar Bayero da ke Kano.
hau_000110|Ali ya kasance mazaunin Zaria ne a cikin Jihar Kaduna.
hau_000111|Dari sau daya a cikin hudu ya zama ashirin da biyar.
hau_000112|Farida ta samu nasarar jarrabawar shiga jami’a
hau_000113|Biyu a cikin biyar sau tamanin ya zama talatin biyu.
hau_000114|Yakubu da Musa suna wasan ƙwallon ƙafa a filin wasa na ƙasa da ke Abuja.
hau_000115|Daya a cikin goma sau miliyan daya ya zama dubu dari..
hau_000116|Doki na gudu mai launin jar gurar a cikin da'ira mai launin rawaya.
hau_000117|Dattijo mai shekara sittin ya yi murnar zagayowar ranar haihuwarsa ta cika shekara sittin da haihuwa..
hau_000118|Yanayi wayewar gari na iya zama da sanyi sosai idan aka samu ma'aunin selshiyos idan bai kai 10C.
hau_000119|Moda da ake amfani dashi don shayi daya bayan daya guda hudu.
hau_000120|Idan aka wayi gari aka samu ma'aunin selshiyos ya kai 80 degree ko kuma ya kai daga 20C zuwa fiye da haka.
hau_000121|Za a iya samun ruwan sama a wayewar gari idan ma'aunin selshiyos yana tsakanin 24C zuwa 33C.
hau_000122|Sadiya na cin abincin da ta girka kullum da yamma.
hau_000123|Za a iya samun iska a wayewar gari idan aka samu makin ma'aunin selshiyos ya yi kasa da 17C zuwa 18C.
hau_000124|Daya a cikin biyu a hada da daya a cikin shida ya zama biyu a cikin uku.
hau_000125|A wasu kashen idan aka samu makin ma'aunin selshiyos ya yi kasa da 35C.
hau_000126|Sha daya sau dari da goma ya zama dubu daya da dari biyu da goma.
hau_000127|A duk lokacin da aka samu sauyin yanayi ma'aunin selshiyos na sauyawa yana iya kaiwa 2C ko kuma ya gaza hakan.
hau_000244|Ka tuna zamu tsaya a Lekki Tall Gate.
hau_000245|Yau gidansu Tanko mukaje aka bamu garau-garau da manja da Salak.
hau_000246|Dari a raba ta gida hudu ashirin da biyar kenan.
hau_000247|Mawakin Davido ya sayi gida mai tsada a Banana Island.
hau_000248|Munzali Sunusi ne ya fara zuwa Umara a unguwar mu
hau_000249|Shagon yana daga gefen filin parking kofar gabas.
hau_000250|A Dajin Sambisa ne aka kashe wani babban soja
hau_000251|Kunun nasu yayi zafi dayawa gwara mu bari ya huce tukunna.
hau_000252|Milliyan daya a rabata gida biyar shine dubu dari biyu.
hau_000253|Muhammadu Buhari ya koma Katsina kamar yadda ya ambata zaiyi
hau_000254|Ta bodar kwatano aka shigo da kayan
hau_000255|Fatima Taura bata amince da wannan shawarar tamu ba.
hau_000256|Dogayen korama biyu ne suke bamu ruwan sha a garin nan.
hau_000257|Shugaban kasar Nigeria a yanzu shine Bola Ahmed Tinubu
hau_000258|An fatattaki yan ta'adda a wani sansani a kasar Cadi
hau_000259|Yau za'aje Goron Dutse da kai?
hau_000260|Baban su Helen yana son dangwalar miyar tankwa da Biredi dalilin yajinta.
hau_000261|Olusegun Obasanjo shine ya fara karbar mulki na farar hula a Nigeria
hau_000262|Kogin Hadejia ya hade ne dana Auyo da Miga har zuwa Tafkin Chad.
hau_000263|Zan tafi da dalibai guda shida. Wani malami sai ya taho da ragowar shidan daga baya.
hau_000264|A Dajin Yankari muka hangi wata bishiya mai tsahon gaske.
hau_000265|Wadanda yafi kowa cin jarrabawa aka bawa kyautar kudade shine Madu Ali.
hau_000266|Shugaba Umaru Musa yar'aduwa ya gaza kaiwa karshen wa'adin mulkin sa ya rasu
hau_000267|Za'a bada kyautar waya ga wanda yazo na uku. Salisu ne yazo na uku sai aka bashi kyautar.
hau_000268|Zaka tarar da masu saida Dabino a bakin gada. Daga kudu maso yamma akwai wani mai kanti.
hau_000269|Tsauni na farko wanda yafi ko wanne tsayi a duniya sunan sa Everest.
hau_000270|Anci kwallaye dayawa a kashin farko na wasan. Tun a kashin farkon wasan aka kori dan wasa guda daya.
hau_000271|Katsina sunfi kowa yawan mabiya addinin Musulunci. Kasar Daura tanada abubuwan tarihi masu ban kayatarwa.
hau_000272|Kalidu Dankwai ne yazo na karshe a gasar.
hau_000273|Mutum ashirn ne suka halacci taron. Wasu kungiyoyi ashirin ne suka wakilci ragowar mutanen da aka gayyata
hau_000274|An yi wa shugaban kasar Nijar Muhammad Bazoum juyin mulki kwanaki
hau_000275|Daya a raba ta gida shida sai a tara da rabi zai bada biyu bisa uku.
hau_000276|Rijiyar Kusugu tanada dumbin tarihi. A garin Daura aka kashe wata Macijiya
hau_000277|Rebecca ta dauki Tufa guda takwas. Kuma takwas din sunyi mata yawa ita kadai.
hau_000278|Wata fura suka sha suka kasa aiki suna ta bacci.
hau_000279|Yau biredin Wellcare zanci. Wellcare tana kan titin Hadejia kusa da Bompai.
hau_000280|Muharram shine watan farko a kalandar musulinci. A farkon sa na fara azumin ramuwa ta
hau_000281|Kano tafi ko ina yawan gadoji a Najeriya. Gadar Na'ibawa tana kudu da garin Kano
hau_000282|Gidan yana kan titin Jaba dake Ungoggo. Jaba ta kasance tafi ko ina yawan Kabilu a Kano
hau_000283|A garin Bauchi ne akeyin waina Masa. Idan ka taho yamma da kofar Zango ake sayarwa.
hau_000284|Duk waɗannan an haife su a matsayin 'ya'yan 'yanci. Suna da hankali, don haka ana son duk mu'amalar da za su yi, akwai 'yan uwantaka a tsakani.
hau_000285|A zaben shekarar 2015 Goodluck Ebele Jonathan ya fadi zaben shugaban kasa
hau_000286|Dazukan Nigeria sun hada boda dana kasar Kyamaru
hau_000287|Samarin da suka shigo a farko sune wakilan angon. Wadanda suka zo da wuri sune a farkon daurawa
hau_000288|Wacce kasa ce tafi ko wacce hada iyaka da Nigeria? Kasar Nijar tafi hada iyaka da Nigeria fiye da ko wacce kasa a Africa.
hau_000289|Mercury itace duniya ta farko a kusa da rana. Ta kasan ce ta farko a wadda tafi ko wacce Zafi
hau_000290|A wanne guri akafi hawa motar daza aje garin Plateu? Ana hawa motar Plateu ne a tashar filin parking.
hau_000291|An samu wanda ya taba lashe kyautar ta Grammy a Nigeria? Wizkid yaci kyautar Grammy a shekarar dubu biyu da ashirin da biyu.
hau_000292|A wanne guri Bayajidda ya Kashe Macijia? Bayajidda ya kashe Macijia ne a garin Daura a Rijiyar Kusugu.
hau_000293|A wacce shekara Umaru Musa Yar'aduwa ya karbi mulkin Nigeria? Yar'aduwa yayi mulki ne daga shekarar dubu biyu da bakwai zuwa ta dubu biyu da tara.
hau_000294|A kauyen su Habibu ana shan Kunu ne da wani abu mai suna Ludayin dima ba kamar yadda ake sha da bakin kofi ba.
hau_000295|Musa yana iya minti sha biyar yana Sallah kafin su koma aji. Duk da haka minti sha biyar din baya isar sa
hau_000325|Rabin dari shi ne  hamsin
hau_000326|Daya bisan ukun Sittin shi ne ashirin
hau_000327|Kore Alwatika a saman da'ira shud'i.
hau_000328|Da'ira launin blue a tsakiyar a tsakiyar zane guda biyu masu launin rawaya.
hau_000329|Goma sau goma ya zama dari.
hau_000330|Daya bisan ashirin shi ne biyar
hau_000331|Nunannen tumatir a gefen karas.
hau_000332|Kwallo mai launin baki da fari a cikin raga.
hau_000333|Lemun zak'I biyu da rabi.
hau_000334|Saniya na kiwo a cikin rana gefen bishiya tana cin korayen ciyayi
hau_000335|Shida a hada da bakwai ya zama sha uku
hau_000336|Tsubin litattafai ke nan aje a wuri guda
hau_000337|Zanen keke mai launin baki wulik
hau_000338|Da'ira mai launin ruwan toka da alamar tauraro fari a cikinta
hau_000339|Zanen tsauni da korayen bishiyoyi da ciyayi
hau_000340|Sittin a raba biyu ya kama talatin
hau_000341|Wata ya haske ruwa fes
hau_000342|Bakwai sau takwas ya zama hamsin shida.
hau_000343|Zabibin da'ira a cikin ruwan kasar Alwatika
hau_000344|zabibin allo mai dauke wasu alamu masu launin farar kasa
hau_000345|Zanen wani yaro mai launin baki na wasa da bakar kwallo
hau_000346|Zanen uwa da uba da 'da a tsakiya launin baki
hau_000347|Da'ira da zanen murabba'I guda uku masu launin rawaya a kicinta
hau_000348|Zanen hudowar rana mai launin rawaya
hau_000349|Ga wani koren tuffa daya da rabi
hau_000350|Hudu sau biyar zai bada ashirin
hau_000351|Budadden taga da wani mashukin bishiyoyi.
hau_000352|Sha daya a hada uku ya zama sha hudu
hau_000353|Daya bisa hudun dari shi ne ashirin da biyar
hau_000354|Daya bisa goma da miliyan guda shi ne dubu dari.
hau_000355|Zanen siffar zuciya a kan wani kututture mai ruwan rawaya
hau_000356|Korama a tsakanin wani tsauni mai ciyayi koraye a bayan wani tsauni blue
hau_000357|Za a samu sauyin yanayi idan Allah Ya kaimu.
hau_000358|Zanen alwatika biyu masu launin bak'i sun sanya zabibiyar da'ira a tsakiya .
hau_000359|Ana sa ran a samu iska mai karfi da safiyar gobe Asabar
hau_000360|Budadden taga da wani ma'ajiyin shuka launin rawaya koren ganye
hau_000361|Uku bisa hudu sau dari da ashirin shi ne casa’in
hau_000362|Daya a tara da biyu ya zama uku.
hau_000363|Hasashen yanayin dare
hau_000364|Zanen doki na sukuwa a gaban zanen rana mai launin rawaya
